epoch,lr,loss,acc1,acc5,val_loss,val_acc1,val_acc5
0.0,0.1,4.803936203308106,1.374,6.912,4.410142189788818,2.52,12.16
1.0,0.1,4.125925682983398,5.424,20.908,3.9515466567993163,7.06,26.42
2.0,0.1,3.6983188539123537,11.698,35.384,3.65119524269104,13.61,38.21
3.0,0.1,3.2019223846435545,20.48,49.934,3.285312812805176,21.91,51.71
4.0,0.1,2.6957945874786375,30.26,62.852,2.837225631713867,29.01,62.3
5.0,0.1,2.282968560562134,38.582,72.316,2.753381693649292,31.87,64.29
6.0,0.1,1.980734450454712,45.516,78.58,2.55715573387146,38.3,70.1
7.0,0.1,1.7739745095443726,50.454,82.158,2.098975046157837,44.69,77.63
8.0,0.1,1.630966099433899,54.15,84.784,1.878922194290161,49.82,81.24
9.0,0.1,1.5198587998962403,56.802,86.54,1.9280502140045166,48.76,80.55
10.0,0.1,1.4436293733978272,58.756,87.674,1.7915030179977418,51.83,82.01
11.0,0.1,1.3681029084014893,60.618,88.74,1.8153863677978515,50.94,81.77
12.0,0.1,1.3100830207443237,62.444,89.616,1.5495617263793946,56.91,85.92
13.0,0.1,1.2700000289154052,63.2,90.162,1.6514744970321655,55.12,85.34
14.0,0.1,1.2327858310317994,64.194,90.698,1.751256886291504,53.21,83.6
15.0,0.1,1.19354391998291,65.462,91.18,1.8268225173950194,52.16,82.23
16.0,0.1,1.172399879322052,65.744,91.434,1.6033519971847534,56.94,85.57
17.0,0.1,1.144821332244873,66.618,91.968,1.701667578125,54.95,83.81
18.0,0.1,1.1259305499267578,66.954,92.088,1.4912939861297607,59.71,86.77
19.0,0.1,1.1024608698272704,67.782,92.3,1.5715797800064086,57.12,86.31
20.0,0.1,1.077601196861267,68.42,92.634,1.7966510738372803,53.85,84.02
21.0,0.1,1.0596732234954833,68.76,92.704,1.5816052026748657,57.77,85.3
22.0,0.1,1.0455585751342773,69.204,93.134,1.6673143157958985,57.41,85.77
23.0,0.1,1.038408409805298,69.426,93.064,1.576501198577881,57.87,86.43
24.0,0.1,1.025615838317871,69.56,93.386,1.4312462211608887,60.74,88.27
25.0,0.1,1.0178484955596925,70.09,93.418,1.5694322204589843,58.42,86.49
26.0,0.1,0.9915482068634033,70.548,93.722,1.4013603923797608,61.62,88.11
27.0,0.1,0.9976044831848144,70.638,93.612,1.5075787322998047,59.41,87.54
28.0,0.1,0.9820431590652465,71.034,93.684,1.628116667366028,57.46,86.0
29.0,0.1,0.9740615378570556,71.188,93.902,1.7150572107315063,55.88,84.42
30.0,0.1,0.975445622997284,70.946,93.966,1.478795998954773,59.76,87.19
31.0,0.1,0.9547062285995483,71.938,94.098,1.5329070177078248,59.19,86.06
32.0,0.1,0.9497450737380981,71.994,94.028,1.493075419807434,59.64,87.3
33.0,0.1,0.9538292264556885,71.966,94.156,1.583174585723877,59.17,85.88
34.0,0.1,0.9466429956436158,71.83,94.166,1.5440157768249512,60.24,86.54
35.0,0.1,0.9371744452857971,72.336,94.278,1.64565164642334,57.91,86.03
36.0,0.1,0.9391045194244385,72.244,94.282,1.616050922203064,57.78,85.96
37.0,0.1,0.9212305680084228,72.716,94.59,1.3806950290679931,62.56,88.47
38.0,0.1,0.9182328805160522,72.822,94.482,1.7446861305236816,55.95,84.63
39.0,0.1,0.9103145341682434,72.91,94.732,1.7888853706359864,55.25,82.79
