epoch,lr,loss,acc1,acc5,val_loss,val_acc1,val_acc5
0.0,0.1,4.7369892578125,3.184,12.896,4.114655746459961,6.06,21.68
1.0,0.1,3.9289840448760986,8.516,28.348,3.7027421855926512,11.68,35.53
2.0,0.1,3.5442833728027345,14.472,40.312,3.4569638404846192,17.23,43.62
3.0,0.1,3.0810367096710207,23.222,53.452,2.902364310836792,26.58,58.81
4.0,0.1,2.6268879486846926,31.786,64.652,2.7034853954315183,31.92,64.44
5.0,0.1,2.316707666397095,38.142,71.768,3.777946514129639,32.62,63.32
6.0,0.1,2.094143004837036,43.074,76.008,2.277151990890503,41.12,73.54
7.0,0.1,1.9476691513061524,46.63,78.954,2.1941702949523925,42.97,74.98
8.0,0.1,1.8241118161773682,49.816,81.248,2.0067281867980955,46.51,78.11
9.0,0.1,1.6967959913635253,52.662,83.612,2.366890176010132,42.61,73.28
10.0,0.1,1.6004055675125122,54.708,85.164,2.0498731258392335,47.53,78.19
11.0,0.1,1.5243743921661377,57.184,86.266,1.9431031198501587,48.07,79.6
12.0,0.1,1.4668400631332397,58.484,87.274,2.0140052810668947,48.31,79.26
13.0,0.1,1.4084153270721436,59.884,87.948,1.8094161197662353,52.21,82.43
14.0,0.1,1.3648348672103883,61.004,88.764,2.0167926013946533,49.67,79.58
15.0,0.1,1.3199631339263915,62.354,89.294,1.9468898859024049,49.68,80.2
16.0,0.1,1.2949462411117554,62.874,89.724,2.0936737174987794,48.29,78.41
17.0,0.1,1.2455225061798096,63.886,90.316,1.6411905097961426,55.6,84.8
18.0,0.1,1.213330622329712,64.794,90.864,1.6597419618606568,55.15,84.54
19.0,0.1,1.1957220906829833,65.21,91.148,1.7551096548080445,53.48,83.33
20.0,0.1,1.1745061948013307,65.764,91.214,1.5936667682647705,57.43,85.6
21.0,0.1,1.1582023393249512,66.25,91.496,1.9114287315368652,51.47,81.49
22.0,0.1,1.1368785515594482,67.002,91.912,1.6289559219360352,56.62,84.33
23.0,0.1,1.1105360496520995,67.696,92.216,1.7520613361358643,55.2,83.07
24.0,0.1,1.104992144203186,67.734,92.258,1.7863913627624513,54.33,83.82
25.0,0.1,1.0832926496124267,68.494,92.5,1.67508257522583,56.02,85.26
26.0,0.1,1.0672779167175293,68.812,92.632,1.5792146001815797,58.77,85.68
27.0,0.1,1.0611328471374513,68.966,92.688,1.7924285079956055,54.52,83.54
28.0,0.1,1.0479500936126709,69.314,93.008,1.7038786779403687,55.23,83.89
29.0,0.1,1.0328923189926147,69.712,93.01,1.5467655427932738,58.41,86.05
30.0,0.1,1.0320035952949524,69.814,93.346,1.7013332557678222,56.28,84.38
31.0,0.1,1.0153967872238159,70.152,93.258,1.641411133956909,56.72,85.25
32.0,0.1,1.0060762267875671,70.548,93.386,1.4972019132614136,60.33,87.1
33.0,0.1,1.0063744030761719,70.678,93.552,1.6576097606658935,56.52,85.22
34.0,0.1,0.994339776134491,70.78,93.554,1.5918174263000489,57.75,85.73
35.0,0.1,0.9846700258255005,71.078,93.782,1.910264100265503,53.26,82.47
36.0,0.1,0.9765379721450805,71.422,93.716,1.666204044532776,57.09,85.11
37.0,0.1,0.9710490562820434,71.308,93.856,1.5921644454956054,58.19,85.98
38.0,0.1,0.969376512889862,71.222,93.89,1.7276083549499512,56.68,84.46
39.0,0.1,0.9719281309890747,71.426,93.774,1.4064218069076537,62.06,88.42
40.0,0.1,0.9577485117340088,71.81,94.122,1.8628503387451172,53.71,82.87
41.0,0.1,0.9453893509674072,72.178,94.092,2.0188290046691892,52.69,82.91
42.0,0.1,0.9402605546188354,72.278,94.152,1.4932776975631714,60.0,87.12
43.0,0.1,0.9439895771408081,72.338,94.184,1.5947814884185791,58.52,85.18
44.0,0.1,0.9408057722854615,71.974,94.244,1.7491473569869995,55.52,83.96
45.0,0.1,0.9471168962097168,71.924,94.15,1.5918886709213256,59.82,86.01
46.0,0.1,0.934360551071167,72.568,94.24,1.949999753189087,53.26,81.89
47.0,0.1,0.9300069408798218,72.608,94.42,1.4751764638900757,61.08,87.74
48.0,0.1,0.9130988869476319,73.246,94.514,1.6800749423980712,57.06,85.58
49.0,0.1,0.918863647441864,72.75,94.524,1.778958878326416,55.2,82.53
50.0,0.1,0.9240685226440429,72.386,94.498,1.728004322052002,55.28,84.56
51.0,0.1,0.9100796653175354,73.068,94.582,1.6262329544067382,57.84,85.84
52.0,0.1,0.9065686989593505,73.222,94.47,1.713228537750244,56.04,84.0
53.0,0.1,0.901545704498291,73.158,94.628,1.739614553833008,56.73,85.33
